Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
161,Intel Core i7-7500U,512KB + 4MB,15,2700 ? 3500,2/4,45.9,4579,5647,11745.5,1.66,3.77,144,341,14,116.95,21.7
162,Intel Core i5-5350H,512KB + 4MB,47,3000 ? 3500,2/4,,,,,,,,,,,
163,Intel Core i5-7300U,512KB + 3MB,15,2600 ? 3500,2/4,46.2,4491.5,5524,12524,1.62,3.85,142.5,343,14.59,128.17,24.04
166,Intel Core i7-2635QM,1MB + 6MB,45,2000 ? 2900,4/8,43,4906,3699,13581,,4.68,,,15,,
167,Intel Core i7-2630QM,1MB + 6MB,45,2000 ? 2900,4/8,43.4,5039,3662,13833,,4.82,,,10.1,,
169,Intel Core i5-6287U,512KB + 4MB,28,3100 ? 3500,2/4,,,,,,,,,,,
170,Intel Core i7-5557U,512KB + 4MB,28,3100 ? 3400,2/4,36.2,4595,,,,,,,,,
171,Intel Core i7-4610M,512KB + 4MB,37,3000 ? 3700,2/4,,,,,,,,,,,
173,Intel Core i7-4600M,512KB + 4MB,37,2900 ? 3600,2/4,37.1,,,,1.5,3.35,132,310,,,
174,Intel Core i5-4340M,512KB + 3MB,37,2900 ? 3600,2/4,,,,,,,,,,,
175,Intel Core i5-5287U,512KB + 3MB,28,2900 ? 3300,2/4,,,,,,,,,,,
176,Intel Core i5-7260U,512KB + 4MB,15,2200 ? 3400,2/4,,,,,,,,,,,
177,Intel Core i5-6267U,512KB + 4MB,28,2900 ? 3300,2/4,43.4,4424.5,4984,10902,1.5,3.57,131,330,15.4,118.55,22.17
178,Intel Core i7-4578U,512KB + 4MB,28,3000 ? 3500,2/4,,,,,,,,,,,
179,Intel Core i5-4210H,512KB + 3MB,47,2900 ? 3500,2/4,42.7,4462,5019,11075,1.5,3.65,129,330,15.52,104.5,21.15
182,Intel Core i5-4330M,512KB + 3MB,37,2800 ? 3500,2/4,48.1,4362,4988,11324,1.51,3.66,,,18.19,,
183,Intel Core i7-3540M,512KB + 4MB,35,3000 ? 3700,2/4,43.3,4319.5,5029.5,10810.5,1.53,3.45,,,14.86,105.29,19.92
184,Intel Core i5-4200H,512KB + 3MB,47,2800 ? 3400,2/4,43.2,4361,5719,10739,1.46,3.53,129.5,323.5,15.77,103,20.45
185,Intel Core i7-4558U,512KB + 4MB,28,2800 ? 3300,2/4,42.4,4264,4793,10305,1.45,3.48,,,16.25,107.19,20.37
186,Intel Core i5-5257U,512KB + 3MB,28,2700 ? 3100,2/4,35.4,4190,4825,10674,1.42,3.42,124,316,,107.31,20.19
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
187,Intel Core i5-4308U,512KB + 3MB,28,2800 ? 3300,2/4,,,,,,,,,,,
188,AMD A10-7850K,4MB,95,3700 ? 4000,4/4,36.6,4748,3216,10278,1.01,3.59,86,318,13.1,114,24.1
